product_id,product_name,brand,category,sub_category,description,color,size,material,gender,mfr_cost,shipping_charge,price,country_of_origin,care_instructions,warranty_months,rating,launch_year
FW0001,Skechers Casual Shoes - Green (Size 9),Skechers,Footwear,Casual Shoes,"The Skechers casual shoes in green color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Green,9,Mesh upper with rubber sole,Women,2458.62,103.85,4338.16,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,3.6,2024
FW0002,New Balance Sandals - Black (Size 10),New Balance,Footwear,Sandals,"The New Balance sandals in black color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Black,10,Mesh upper with rubber sole,Unisex,1346.59,140.96,2611.66,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,3.9,2022
FW0003,New Balance Sports Shoes - Black (Size 9),New Balance,Footwear,Sports Shoes,"The New Balance sports shoes in black color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Black,9,Mesh upper with rubber sole,Women,1084.3,104.85,2256.47,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,4.7,2025
FW0004,Reebok Sneakers - Black (Size 9),Reebok,Footwear,Sneakers,"The Reebok sneakers in black color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Black,9,Mesh upper with rubber sole,Unisex,1871.13,98.26,3319.76,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,4,2025
FW0005,Campus Formal Shoes - White (Size 9),Campus,Footwear,Formal Shoes,"The Campus formal shoes in white color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",White,9,Mesh upper with rubber sole,Men,1448.36,107.26,3137.63,India,"Wipe with a clean, dry cloth. Do not machine wash.",6,3.6,2023
FW0006,Reebok Sneakers - Red (Size 7),Reebok,Footwear,Sneakers,"The Reebok sneakers in red color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Red,7,Mesh upper with rubber sole,Women,1303.67,91.88,2303.94,India,"Wipe with a clean, dry cloth. Do not machine wash.",6,4.7,2023
FW0007,Adidas Formal Shoes - Red (Size 8),Adidas,Footwear,Formal Shoes,"The Adidas formal shoes in red color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Red,8,Mesh upper with rubber sole,Unisex,1784.19,90.52,3435.6,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,3.6,2023
FW0008,Asics Sandals - Red (Size 10),Asics,Footwear,Sandals,"The Asics sandals in red color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Red,10,Mesh upper with rubber sole,Men,1529.9,109.26,3309.47,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,4.6,2024
FW0009,Campus Sports Shoes - Blue (Size 9),Campus,Footwear,Sports Shoes,"The Campus sports shoes in blue color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Blue,9,Mesh upper with rubber sole,Women,2193.28,96.3,4005.03,India,"Wipe with a clean, dry cloth. Do not machine wash.",12,4.5,2023
FW0010,Campus Casual Shoes - Blue (Size 11),Campus,Footwear,Casual Shoes,"The Campus casual shoes in blue color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Blue,11,Mesh upper with rubber sole,Women,2093.05,94.81,4523.23,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,4.6,2024
FW0011,Woodland Running Shoes - Blue (Size 9),Woodland,Footwear,Running Shoes,"The Woodland running shoes in blue color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Blue,9,Mesh upper with rubber sole,Women,1546.05,130.05,2408.34,India,"Wipe with a clean, dry cloth. Do not machine wash.",6,3.8,2023
FW0012,Woodland Sandals - White (Size 6),Woodland,Footwear,Sandals,"The Woodland sandals in white color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",White,6,Mesh upper with rubber sole,Women,1503.95,134.16,3064.16,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,4.4,2023
FW0013,Woodland Running Shoes - White (Size 11),Woodland,Footwear,Running Shoes,"The Woodland running shoes in white color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",White,11,Mesh upper with rubber sole,Men,1412.64,54.16,2655.6,India,"Wipe with a clean, dry cloth. Do not machine wash.",6,4.2,2023
FW0014,Skechers Sports Shoes - Blue (Size 7),Skechers,Footwear,Sports Shoes,"The Skechers sports shoes in blue color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Blue,7,Mesh upper with rubber sole,Unisex,1004.55,132.85,2059.97,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,3.7,2023
